App Store Review ID,Rating,Title,Review,Date
14069974869,5,Good App,Stock trading 📈,2026-05-16
14069943227,5,Good,Profit but commission expense,2026-05-16
14069930705,5,Best app,I really love this app.,2026-05-16
14069833692,5,Great App,"Easy, Fast, Trusted",2026-05-16
14069810660,1,Solution,"The behavior with customers is not good, proper solutions are not provided, and the app has too many glitches and bugs.",2026-05-16
14069723465,4,Best trading experience,"Everything is working smoothly, as every good trader expects. UI simple and easy to use makes this attractive trading platform.  One suggestion is that the scalper mode not available for iPhone users. Although 915 by groww covers that feature, but it would be great to see scalper option in native app for iPhone users.",2026-05-16
14069638573,5,🙏🌹JAI SHREE SHYAM 🙏🌹,🙏🌹JAI SHREE SHYAM🙏🌹,2026-05-16
14069449464,5,👍,Good,2026-05-16
14069371673,5,Just an awesome app.,"One stop shop for your investment in stock, F&O and mutual funds. Easy to invest and make withdrawals as required.",2026-05-16
14069320667,5,Very good app,Very good app,2026-05-16
14069096453,5,Highly recommended platform,No matter other apps this I loved it everyone must try bro 😎,2026-05-16
14069007602,5,Great,Best,2026-05-16
14068598066,5,Superb,Good broker,2026-05-15
14068424472,4,Log in,Very simple way to recovery my id,2026-05-15
14068233856,1,Market,Loss,2026-05-15
14067963206,5,Great,Great,2026-05-15
14067960568,5,Nice,Excellent,2026-05-15
14067951042,5,Impressive,Simple. Smart. Supercool,2026-05-15
14067833303,5,Love it,"Easier interface, self exploratory",2026-05-15
14067790183,5,Good,Good platform for new comers,2026-05-15
14067675079,5,Maharaja,I am using Grow app for 3 years and I am fully satisfied.God bless Grow. Tum jug jug jio Maharaja,2026-05-15
14067549644,5,Good experience overall.,Have been growwing since 5 months now and so far looks good.,2026-05-15
14067486389,5,Good option with Grow,Day today updates with easy withdrawal of money. Keep it up. Rest well should not forget “ All Funds are subject to market risk “ have patience.,2026-05-15
14067447005,5,Good,Good n easy investment,2026-05-15
14067326435,5,Sandesh Shetty,Ease of access!!,2026-05-15
14067000118,5,Good App,Good App,2026-05-15
14066970271,5,Best app for trading and investing,"I am a long time client and I love this app, easy to use and you will get updates regularly, best of the best",2026-05-15
14066811151,5,Best,Invest,2026-05-15
14066642195,5,good,love it,2026-05-15
14066585038,5,"User friendly interface,",Smooth and easy,2026-05-15
14066496250,5,The,Re,2026-05-15
14066453721,5,Very good,Awesome job,2026-05-15
14066231839,1,Everytime ask for review,"Everytime i login they ask for review, so from now onward, the number of time they ask for the review i will give 1 star",2026-05-15
14066214353,5,the bestie,no 1 platform for user frendly,2026-05-15
14066211571,5,Very good,Mst,2026-05-15
14066158448,5,Nice,App,2026-05-15
14066144626,5,Nice app,Good features,2026-05-15
14066141179,5,Nice,Nice,2026-05-15
14066113471,4,Please give 30 level DOM,Please provide 30 level DOM. Other platforms are providing it like upstox and dhan to name a few and many others  Please its a humble request,2026-05-15
14066106920,5,Easy se bhi easy,5 star,2026-05-15
14066082653,5,platform,Good experience,2026-05-15
14065986740,5,Groww,User friendly and one app for all investment.,2026-05-15
14065985502,5,Grow will grow,Excellent,2026-05-15
14065936252,5,Best for investment and trading simple and easy interface,"Awesome Experience platform for trading. And investment, it is the better experience I like this app",2026-05-15
14065908653,5,Customers help you developing,Please you assist yous customers and best assumption with built customer realations,2026-05-15
14065908392,5,Great app for trading,Super convenient,2026-05-15
14065882349,5,Great platform,Many THANKS,2026-05-15
14065867466,5,Very good application,"It’s very simple step for checking Stock, SIP.. etc.",2026-05-15
14065865745,5,Saurabh,Very good,2026-05-15
14065864531,4,Neha singh,Awesome application super duper fast,2026-05-15
14065861711,5,App is good for investment in stocks,Good for investing but some mf related things like importing external funds are not working currently so tracking is difficult.,2026-05-15
14065833305,5,Nice UI,Love the refined UI and featured this app provides,2026-05-15
14065831172,1,Login issues,Login issues ho rhe hai bar bar otp dalne ke bad bhi login nhi ho raha 😡😡😡,2026-05-15
14065819045,4,User friendly,Good,2026-05-15
14065816993,5,Money,Nice app,2026-05-15
14065805768,5,Well designed mo app,Good,2026-05-15
14065794616,5,good,Nice appp,2026-05-15
14065793707,1,No good,Hhh,2026-05-15
14065788272,5,Stock update,Very nice app out of 10,2026-05-15
14065784095,5,Groww it Groww,Simple n sober to Groww with,2026-05-15
14065769396,5,Overview,Best application for investment,2026-05-15
14065745338,5,best investment app,good app,2026-05-15
14065095460,5,Good,Easy and simple to use,2026-05-14
14064720491,5,Good for all.,Great app,2026-05-14
14064565727,5,Very good,Really very good experience with groww app.Maintain customer finanacial security. & improve Customer Support Team.,2026-05-14
14064403073,5,Everything in one place,"Amazing app, nice interface, fast response. The best thing I like about groww is that you can even track your external investments without any hassle.",2026-05-14
14064350756,4,Good app,Easy to use and great support,2026-05-14
14064086523,5,Nice one,Soo good,2026-05-14
14063917737,5,Good,Good,2026-05-14
14063586430,5,Groww,Good app,2026-05-14
14063389829,5,Very good,Good,2026-05-14
14063285973,5,good,and Dashboard nyc 👌🏻,2026-05-14
14063250377,5,User experience,One of the best thing in grow is user experience,2026-05-14
14063196629,5,User interface is very nice,Good UI and we can track our investments in a easy way.,2026-05-14
14063189278,5,Mr,Very Nice,2026-05-14
14063187971,5,Change of email address,"I was able to do very quickly on mobile app and change of email address has been done within a matter of 2-3 minutes. Grow App is very fast, efficient and user friendly. Keep it up and continue to Growwwww.",2026-05-14
14063174328,5,Good,Good to learn,2026-05-14
14063168478,5,Love this app,Very smooth interface,2026-05-14
14063047513,5,Great,Excellent,2026-05-14
14063036547,4,Very good,Very good,2026-05-14
14062986241,5,All good,Shadab khan,2026-05-14
14062910337,5,Stocks,Nice and easy app to understand,2026-05-14
14062874352,5,Good app 100% trusted,100% trusted,2026-05-14
14062837056,5,Asahi galas and kajaria shares,Very satisfied,2026-05-14
14062811507,5,Good,Good,2026-05-14
14062766614,5,Overall,Good for stocks also,2026-05-14
14062652698,3,Watchlist are not saving in Alphabetical sorted order,Watchlist are not saving in Alphabetical sorted order.  Even though we tried to sort list of stocks in our watchlist it’s not saving that sorted order,2026-05-14
14062628495,5,Very much Recommendable,Very convenient,2026-05-14
14062614068,5,Good,Good,2026-05-14
14062568495,5,Excellent,Excellent,2026-05-14
14062555934,5,Groww,Very user friendly and smooth to use 👍,2026-05-14
14062527233,5,love the experience,very nice simple to use,2026-05-14
14062516269,5,Best trading app,Trusted with best services. Ready to help at any time.,2026-05-14
14062479358,5,Best,Good,2026-05-14
14062424621,5,Best App for investments,Best App for investments,2026-05-14
14062418892,5,Great app,Great app,2026-05-14
14062383217,5,Experience,Good,2026-05-14
14062379178,5,Groww App,Very useful and supportive app for each new or old trader.,2026-05-14
14062355240,5,Very comfortable and easily working,Very good experience,2026-05-14
